threads,baseline_predict_agg_s,tbb_predict_agg_s,tbb_normal_mean_s,tbb_beam_mean_s,status
4,3237.483,3051.9140000000007,69.73817857142858,549.6225,confirmed
8,1838.002,,,,pending
16,1085.48,828.9360000000001,19.201999999999998,145.64,confirmed
24,767.083,579.283,13.601035714285713,99.227,confirmed
36,539.591,427.07700000000006,10.318321428571428,69.082,confirmed
48,481.264,368.4930000000001,8.963071428571428,58.7635,confirmed
72,360.493,335.57599999999996,8.61742857142857,47.144000000000005,confirmed
